	beaobachtungsnummer	tag	stall	mischung	anzahl_sauber	anzahl_schmutzig	kommentar	messende person
45	45	11.12.2023	2	dinkel	9	2	alles nur ein traum	generiert
46	46	11.12.2023	2	stroh	10	1	alles nur ein traum	generiert
47	47	11.12.2023	2	sand	7	4	alles nur ein traum	generiert
48	48	12.12.2023	1	dinkel	7	2	alles nur ein traum	generiert
49	49	12.12.2023	1	stroh	9	0	alles nur ein traum	generiert
50	50	12.12.2023	1	sand	3	6	alles nur ein traum	generiert
51	51	12.12.2023	2	dinkel	11	1	alles nur ein traum	generiert
52	52	12.12.2023	2	stroh	11	1	alles nur ein traum	generiert
53	53	12.12.2023	2	sand	6	6	alles nur ein traum	generiert
54	54	13.12.2023	1	dinkel	8	2	alles nur ein traum	generiert
55	55	13.12.2023	1	stroh	8	2	alles nur ein traum	generiert
56	56	13.12.2023	1	sand	4	6	alles nur ein traum	generiert
57	57	13.12.2023	2	dinkel	7	4	alles nur ein traum	generiert
58	58	13.12.2023	2	stroh	9	2	alles nur ein traum	generiert
59	59	13.12.2023	2	sand	8	3	alles nur ein traum	generiert
60	60	14.12.2023	1	dinkel	8	1	alles nur ein traum	generiert
61	61	14.12.2023	1	stroh	8	1	alles nur ein traum	generiert
62	62	14.12.2023	1	sand	4	5	alles nur ein traum	generiert
63	63	14.12.2023	2	dinkel	11	1	alles nur ein traum	generiert
64	64	14.12.2023	2	stroh	11	1	alles nur ein traum	generiert
65	65	14.12.2023	2	sand	9	3	alles nur ein traum	generiert
66	66	15.12.2023	1	dinkel	7	1	alles nur ein traum	generiert
67	67	15.12.2023	1	stroh	6	2	alles nur ein traum	generiert
68	68	15.12.2023	1	sand	5	3	alles nur ein traum	generiert
69	69	15.12.2023	2	dinkel	9	2	alles nur ein traum	generiert
70	70	15.12.2023	2	stroh	10	1	alles nur ein traum	generiert
71	71	15.12.2023	2	sand	8	3	alles nur ein traum	generiert
72	72	16.12.2023	1	dinkel	8	2	alles nur ein traum	generiert
73	73	16.12.2023	1	stroh	9	1	alles nur ein traum	generiert
74	74	16.12.2023	1	sand	5	5	alles nur ein traum	generiert
75	75	16.12.2023	2	dinkel	10	1	alles nur ein traum	generiert
76	76	16.12.2023	2	stroh	9	2	alles nur ein traum	generiert
77	77	16.12.2023	2	sand	7	4	alles nur ein traum	generiert
78	78	17.12.2023	1	dinkel	8	2	alles nur ein traum	generiert
79	79	17.12.2023	1	stroh	10	0	alles nur ein traum	generiert
80	80	17.12.2023	1	sand	8	2	alles nur ein traum	generiert
81	81	17.12.2023	2	dinkel	7	1	alles nur ein traum	generiert
82	82	17.12.2023	2	stroh	7	1	alles nur ein traum	generiert
83	83	17.12.2023	2	sand	5	3	alles nur ein traum	generiert
84	84	18.12.2023	1	dinkel	8	1	alles nur ein traum	generiert
85	85	18.12.2023	1	stroh	9	0	alles nur ein traum	generiert
86	86	18.12.2023	1	sand	3	6	alles nur ein traum	generiert
87	87	18.12.2023	2	dinkel	8	5	alles nur ein traum	generiert
88	88	18.12.2023	2	stroh	13	0	alles nur ein traum	generiert
89	89	18.12.2023	2	sand	6	7	alles nur ein traum	generiert
90	90	19.12.2023	1	dinkel	6	2	alles nur ein traum	generiert
91	91	19.12.2023	1	stroh	6	2	alles nur ein traum	generiert
92	92	19.12.2023	1	sand	3	5	alles nur ein traum	generiert
93	93	19.12.2023	2	dinkel	7	3	alles nur ein traum	generiert
94	94	19.12.2023	2	stroh	9	1	alles nur ein traum	generiert
95	95	19.12.2023	2	sand	4	6	alles nur ein traum	generiert
96	96	20.12.2023	1	dinkel	7	1	alles nur ein traum	generiert
97	97	20.12.2023	1	stroh	8	0	alles nur ein traum	generiert
98	98	20.12.2023	1	sand	3	5	alles nur ein traum	generiert
99	99	20.12.2023	2	dinkel	9	2	alles nur ein traum	generiert
100	100	20.12.2023	2	stroh	11	0	alles nur ein traum	generiert
101	101	20.12.2023	2	sand	10	1	alles nur ein traum	generiert
102	102	21.12.2023	1	dinkel	6	3	alles nur ein traum	generiert
103	103	21.12.2023	1	stroh	7	2	alles nur ein traum	generiert
104	104	21.12.2023	1	sand	7	2	alles nur ein traum	generiert
105	105	21.12.2023	2	dinkel	10	0	alles nur ein traum	generiert
106	106	21.12.2023	2	stroh	8	2	alles nur ein traum	generiert
107	107	21.12.2023	2	sand	5	5	alles nur ein traum	generiert
108	108	22.12.2023	1	dinkel	7	3	alles nur ein traum	generiert
109	109	22.12.2023	1	stroh	9	1	alles nur ein traum	generiert
110	110	22.12.2023	1	sand	3	7	alles nur ein traum	generiert
111	111	22.12.2023	2	dinkel	8	1	alles nur ein traum	generiert
112	112	22.12.2023	2	stroh	8	1	alles nur ein traum	generiert
113	113	22.12.2023	2	sand	6	3	alles nur ein traum	generiert
114	114	23.12.2023	1	dinkel	7	2	alles nur ein traum	generiert
115	115	23.12.2023	1	stroh	8	1	alles nur ein traum	generiert
116	116	23.12.2023	1	sand	5	4	alles nur ein traum	generiert
117	117	23.12.2023	2	dinkel	12	1	alles nur ein traum	generiert
118	118	23.12.2023	2	stroh	12	1	alles nur ein traum	generiert
119	119	23.12.2023	2	sand	7	6	alles nur ein traum	generiert
120	120	24.12.2023	1	dinkel	8	0	alles nur ein traum	generiert
121	121	24.12.2023	1	stroh	7	1	alles nur ein traum	generiert
122	122	24.12.2023	1	sand	5	3	alles nur ein traum	generiert
123	123	24.12.2023	2	dinkel	12	1	alles nur ein traum	generiert
124	124	24.12.2023	2	stroh	12	1	alles nur ein traum	generiert
125	125	24.12.2023	2	sand	12	1	alles nur ein traum	generiert
126	126	25.12.2023	1	dinkel	6	3	alles nur ein traum	generiert
127	127	25.12.2023	1	stroh	9	0	alles nur ein traum	generiert
128	128	25.12.2023	1	sand	6	3	alles nur ein traum	generiert
129	129	25.12.2023	2	dinkel	9	0	alles nur ein traum	generiert
130	130	25.12.2023	2	stroh	9	0	alles nur ein traum	generiert
131	131	25.12.2023	2	sand	4	5	alles nur ein traum	generiert
132	132	26.12.2023	1	dinkel	8	0	alles nur ein traum	generiert
133	133	26.12.2023	1	stroh	8	0	alles nur ein traum	generiert
134	134	26.12.2023	1	sand	5	3	alles nur ein traum	generiert
135	135	26.12.2023	2	dinkel	7	5	alles nur ein traum	generiert
136	136	26.12.2023	2	stroh	12	0	alles nur ein traum	generiert
137	137	26.12.2023	2	sand	8	4	alles nur ein traum	generiert
138	138	27.12.2023	1	dinkel	6	3	alles nur ein traum	generiert
139	139	27.12.2023	1	stroh	9	0	alles nur ein traum	generiert
140	140	27.12.2023	1	sand	5	4	alles nur ein traum	generiert
141	141	27.12.2023	2	dinkel	9	3	alles nur ein traum	generiert
142	142	27.12.2023	2	stroh	11	1	alles nur ein traum	generiert
143	143	27.12.2023	2	sand	9	3	alles nur ein traum	generiert
144	144	28.12.2023	1	dinkel	8	2	alles nur ein traum	generiert
145	145	28.12.2023	1	stroh	10	0	alles nur ein traum	generiert
146	146	28.12.2023	1	sand	6	4	alles nur ein traum	generiert
147	147	28.12.2023	2	dinkel	10	3	alles nur ein traum	generiert
148	148	28.12.2023	2	stroh	12	1	alles nur ein traum	generiert
149	149	28.12.2023	2	sand	9	4	alles nur ein traum	generiert
150	150	29.12.2023	1	dinkel	6	2	alles nur ein traum	generiert
151	151	29.12.2023	1	stroh	7	1	alles nur ein traum	generiert
152	152	29.12.2023	1	sand	7	1	alles nur ein traum	generiert
153	153	29.12.2023	2	dinkel	12	0	alles nur ein traum	generiert
154	154	29.12.2023	2	stroh	12	0	alles nur ein traum	generiert
155	155	29.12.2023	2	sand	6	6	alles nur ein traum	generiert
156	156	30.12.2023	1	dinkel	8	2	alles nur ein traum	generiert
157	157	30.12.2023	1	stroh	9	1	alles nur ein traum	generiert
158	158	30.12.2023	1	sand	6	4	alles nur ein traum	generiert
159	159	30.12.2023	2	dinkel	6	4	alles nur ein traum	generiert
160	160	30.12.2023	2	stroh	9	1	alles nur ein traum	generiert
161	161	30.12.2023	2	sand	4	6	alles nur ein traum	generiert
162	162	31.12.2023	1	dinkel	6	4	alles nur ein traum	generiert
163	163	31.12.2023	1	stroh	9	1	alles nur ein traum	generiert
164	164	31.12.2023	1	sand	5	5	alles nur ein traum	generiert
165	165	31.12.2023	2	dinkel	8	2	alles nur ein traum	generiert
166	166	31.12.2023	2	stroh	10	0	alles nur ein traum	generiert
167	167	31.12.2023	2	sand	8	2	alles nur ein traum	generiert
168	168	01.01.2024	1	dinkel	7	1	alles nur ein traum	generiert
169	169	01.01.2024	1	stroh	6	2	alles nur ein traum	generiert
170	170	01.01.2024	1	sand	4	4	alles nur ein traum	generiert
171	171	01.01.2024	2	dinkel	11	2	alles nur ein traum	generiert
172	172	01.01.2024	2	stroh	12	1	alles nur ein traum	generiert
173	173	01.01.2024	2	sand	9	4	alles nur ein traum	generiert
174	174	02.01.2024	1	dinkel	8	2	alles nur ein traum	generiert
175	175	02.01.2024	1	stroh	10	0	alles nur ein traum	generiert
176	176	02.01.2024	1	sand	3	7	alles nur ein traum	generiert
177	177	02.01.2024	2	dinkel	9	4	alles nur ein traum	generiert
178	178	02.01.2024	2	stroh	12	1	alles nur ein traum	generiert
179	179	02.01.2024	2	sand	6	7	alles nur ein traum	generiert
180	180	03.01.2024	1	dinkel	7	1	alles nur ein traum	generiert
181	181	03.01.2024	1	stroh	8	0	alles nur ein traum	generiert
182	182	03.01.2024	1	sand	5	3	alles nur ein traum	generiert
183	183	03.01.2024	2	dinkel	10	1	alles nur ein traum	generiert
184	184	03.01.2024	2	stroh	10	1	alles nur ein traum	generiert
185	185	03.01.2024	2	sand	8	3	alles nur ein traum	generiert
186	186	04.01.2024	1	dinkel	6	4	alles nur ein traum	generiert
187	187	04.01.2024	1	stroh	10	0	alles nur ein traum	generiert
188	188	04.01.2024	1	sand	4	6	alles nur ein traum	generiert
189	189	04.01.2024	2	dinkel	10	1	alles nur ein traum	generiert
190	190	04.01.2024	2	stroh	11	0	alles nur ein traum	generiert
191	191	04.01.2024	2	sand	7	4	alles nur ein traum	generiert
192	192	05.01.2024	1	dinkel	5	3	alles nur ein traum	generiert
193	193	05.01.2024	1	stroh	8	0	alles nur ein traum	generiert
194	194	05.01.2024	1	sand	5	3	alles nur ein traum	generiert
195	195	05.01.2024	2	dinkel	7	3	alles nur ein traum	generiert
196	196	05.01.2024	2	stroh	9	1	alles nur ein traum	generiert
197	197	05.01.2024	2	sand	6	4	alles nur ein traum	generiert
198	198	06.01.2024	1	dinkel	8	2	alles nur ein traum	generiert
199	199	06.01.2024	1	stroh	10	0	alles nur ein traum	generiert
200	200	06.01.2024	1	sand	5	5	alles nur ein traum	generiert
201	201	06.01.2024	2	dinkel	7	3	alles nur ein traum	generiert
202	202	06.01.2024	2	stroh	8	2	alles nur ein traum	generiert
203	203	06.01.2024	2	sand	7	3	alles nur ein traum	generiert
204	204	07.01.2024	1	dinkel	8	1	alles nur ein traum	generiert
205	205	07.01.2024	1	stroh	8	1	alles nur ein traum	generiert
206	206	07.01.2024	1	sand	4	5	alles nur ein traum	generiert
207	207	07.01.2024	2	dinkel	10	2	alles nur ein traum	generiert
208	208	07.01.2024	2	stroh	12	0	alles nur ein traum	generiert
209	209	07.01.2024	2	sand	9	3	alles nur ein traum	generiert
210	210	08.01.2024	1	dinkel	6	4	alles nur ein traum	generiert
211	211	08.01.2024	1	stroh	8	2	alles nur ein traum	generiert
212	212	08.01.2024	1	sand	6	4	alles nur ein traum	generiert
213	213	08.01.2024	2	dinkel	9	1	alles nur ein traum	generiert
214	214	08.01.2024	2	stroh	10	0	alles nur ein traum	generiert
215	215	08.01.2024	2	sand	8	2	alles nur ein traum	generiert
216	216	09.01.2024	1	dinkel	7	1	alles nur ein traum	generiert
217	217	09.01.2024	1	stroh	8	0	alles nur ein traum	generiert
218	218	09.01.2024	1	sand	4	4	alles nur ein traum	generiert
219	219	09.01.2024	2	dinkel	10	1	alles nur ein traum	generiert
220	220	09.01.2024	2	stroh	10	1	alles nur ein traum	generiert
221	221	09.01.2024	2	sand	4	7	alles nur ein traum	generiert
222	222	10.01.2024	1	dinkel	9	1	alles nur ein traum	generiert
223	223	10.01.2024	1	stroh	9	1	alles nur ein traum	generiert
224	224	10.01.2024	1	sand	6	4	alles nur ein traum	generiert
225	225	10.01.2024	2	dinkel	9	1	alles nur ein traum	generiert
226	226	10.01.2024	2	stroh	9	1	alles nur ein traum	generiert
227	227	10.01.2024	2	sand	6	4	alles nur ein traum	generiert
228	228	11.01.2024	1	dinkel	6	3	alles nur ein traum	generiert
229	229	11.01.2024	1	stroh	9	0	alles nur ein traum	generiert
230	230	11.01.2024	1	sand	6	3	alles nur ein traum	generiert
231	231	11.01.2024	2	dinkel	7	5	alles nur ein traum	generiert
232	232	11.01.2024	2	stroh	12	0	alles nur ein traum	generiert
233	233	11.01.2024	2	sand	4	8	alles nur ein traum	generiert
234	234	12.01.2024	1	dinkel	8	0	alles nur ein traum	generiert
235	235	12.01.2024	1	stroh	8	0	alles nur ein traum	generiert
236	236	12.01.2024	1	sand	6	2	alles nur ein traum	generiert
237	237	12.01.2024	2	dinkel	9	1	alles nur ein traum	generiert
238	238	12.01.2024	2	stroh	9	1	alles nur ein traum	generiert
239	239	12.01.2024	2	sand	6	4	alles nur ein traum	generiert
240	240	13.01.2024	1	dinkel	8	1	alles nur ein traum	generiert
241	241	13.01.2024	1	stroh	7	2	alles nur ein traum	generiert
242	242	13.01.2024	1	sand	6	3	alles nur ein traum	generiert
243	243	13.01.2024	2	dinkel	9	4	alles nur ein traum	generiert
244	244	13.01.2024	2	stroh	12	1	alles nur ein traum	generiert
245	245	13.01.2024	2	sand	8	5	alles nur ein traum	generiert
246	246	14.01.2024	1	dinkel	6	4	alles nur ein traum	generiert
247	247	14.01.2024	1	stroh	8	2	alles nur ein traum	generiert
248	248	14.01.2024	1	sand	6	4	alles nur ein traum	generiert
249	249	14.01.2024	2	dinkel	8	2	alles nur ein traum	generiert
250	250	14.01.2024	2	stroh	10	0	alles nur ein traum	generiert
251	251	14.01.2024	2	sand	7	3	alles nur ein traum	generiert
252	252	15.01.2024	1	dinkel	7	3	alles nur ein traum	generiert
253	253	15.01.2024	1	stroh	8	2	alles nur ein traum	generiert
254	254	15.01.2024	1	sand	7	3	alles nur ein traum	generiert
255	255	15.01.2024	2	dinkel	7	4	alles nur ein traum	generiert
256	256	15.01.2024	2	stroh	9	2	alles nur ein traum	generiert
257	257	15.01.2024	2	sand	5	6	alles nur ein traum	generiert
258	258	16.01.2024	1	dinkel	8	1	alles nur ein traum	generiert
259	259	16.01.2024	1	stroh	8	1	alles nur ein traum	generiert
260	260	16.01.2024	1	sand	5	4	alles nur ein traum	generiert
261	261	16.01.2024	2	dinkel	10	2	alles nur ein traum	generiert
262	262	16.01.2024	2	stroh	11	1	alles nur ein traum	generiert
263	263	16.01.2024	2	sand	9	3	alles nur ein traum	generiert
264	264	17.01.2024	1	dinkel	7	2	alles nur ein traum	generiert
265	265	17.01.2024	1	stroh	9	0	alles nur ein traum	generiert
266	266	17.01.2024	1	sand	7	2	alles nur ein traum	generiert
267	267	17.01.2024	2	dinkel	9	2	alles nur ein traum	generiert
268	268	17.01.2024	2	stroh	11	0	alles nur ein traum	generiert
269	269	17.01.2024	2	sand	3	8	alles nur ein traum	generiert
270	270	18.01.2024	1	dinkel	7	3	alles nur ein traum	generiert
271	271	18.01.2024	1	stroh	10	0	alles nur ein traum	generiert
272	272	18.01.2024	1	sand	3	7	alles nur ein traum	generiert
273	273	18.01.2024	2	dinkel	7	4	alles nur ein traum	generiert
274	274	18.01.2024	2	stroh	10	1	alles nur ein traum	generiert
275	275	18.01.2024	2	sand	9	2	alles nur ein traum	generiert
276	276	19.01.2024	1	dinkel	8	1	alles nur ein traum	generiert
277	277	19.01.2024	1	stroh	9	0	alles nur ein traum	generiert
278	278	19.01.2024	1	sand	4	5	alles nur ein traum	generiert
279	279	19.01.2024	2	dinkel	7	2	alles nur ein traum	generiert
280	280	19.01.2024	2	stroh	9	0	alles nur ein traum	generiert
281	281	19.01.2024	2	sand	3	6	alles nur ein traum	generiert
282	282	20.01.2024	1	dinkel	8	1	alles nur ein traum	generiert
283	283	20.01.2024	1	stroh	9	0	alles nur ein traum	generiert
284	284	20.01.2024	1	sand	6	3	alles nur ein traum	generiert
285	285	20.01.2024	2	dinkel	6	3	alles nur ein traum	generiert
286	286	20.01.2024	2	stroh	8	1	alles nur ein traum	generiert
287	287	20.01.2024	2	sand	7	2	alles nur ein traum	generiert
288	288	21.01.2024	1	dinkel	7	0	alles nur ein traum	generiert
289	289	21.01.2024	1	stroh	6	1	alles nur ein traum	generiert
290	290	21.01.2024	1	sand	3	4	alles nur ein traum	generiert
291	291	21.01.2024	2	dinkel	10	2	alles nur ein traum	generiert
292	292	21.01.2024	2	stroh	10	2	alles nur ein traum	generiert
293	293	21.01.2024	2	sand	6	6	alles nur ein traum	generiert
294	294	22.01.2024	1	dinkel	5	4	alles nur ein traum	generiert
295	295	22.01.2024	1	stroh	9	0	alles nur ein traum	generiert
296	296	22.01.2024	1	sand	3	6	alles nur ein traum	generiert
297	297	22.01.2024	2	dinkel	8	2	alles nur ein traum	generiert
298	298	22.01.2024	2	stroh	7	3	alles nur ein traum	generiert
299	299	22.01.2024	2	sand	5	5	alles nur ein traum	generiert
300	300	23.01.2024	1	dinkel	6	3	alles nur ein traum	generiert
301	301	23.01.2024	1	stroh	8	1	alles nur ein traum	generiert
302	302	23.01.2024	1	sand	2	7	alles nur ein traum	generiert
303	303	23.01.2024	2	dinkel	8	2	alles nur ein traum	generiert
304	304	23.01.2024	2	stroh	9	1	alles nur ein traum	generiert
305	305	23.01.2024	2	sand	7	3	alles nur ein traum	generiert
306	306	24.01.2024	1	dinkel	4	3	alles nur ein traum	generiert
307	307	24.01.2024	1	stroh	6	1	alles nur ein traum	generiert
308	308	24.01.2024	1	sand	4	3	alles nur ein traum	generiert
309	309	24.01.2024	2	dinkel	6	4	alles nur ein traum	generiert
310	310	24.01.2024	2	stroh	8	2	alles nur ein traum	generiert
311	311	24.01.2024	2	sand	7	3	alles nur ein traum	generiert
312	312	25.01.2024	1	dinkel	5	4	alles nur ein traum	generiert
313	313	25.01.2024	1	stroh	9	0	alles nur ein traum	generiert
314	314	25.01.2024	1	sand	6	3	alles nur ein traum	generiert
315	315	25.01.2024	2	dinkel	11	2	alles nur ein traum	generiert
316	316	25.01.2024	2	stroh	13	0	alles nur ein traum	generiert
317	317	25.01.2024	2	sand	6	7	alles nur ein traum	generiert
318	318	26.01.2024	1	dinkel	8	0	alles nur ein traum	generiert
319	319	26.01.2024	1	stroh	8	0	alles nur ein traum	generiert
320	320	26.01.2024	1	sand	4	4	alles nur ein traum	generiert
321	321	26.01.2024	2	dinkel	8	3	alles nur ein traum	generiert
322	322	26.01.2024	2	stroh	10	1	alles nur ein traum	generiert
323	323	26.01.2024	2	sand	9	2	alles nur ein traum	generiert
324	324	27.01.2024	1	dinkel	10	0	alles nur ein traum	generiert
325	325	27.01.2024	1	stroh	9	1	alles nur ein traum	generiert
326	326	27.01.2024	1	sand	9	1	alles nur ein traum	generiert
327	327	27.01.2024	2	dinkel	9	3	alles nur ein traum	generiert
328	328	27.01.2024	2	stroh	10	2	alles nur ein traum	generiert
329	329	27.01.2024	2	sand	6	6	alles nur ein traum	generiert
330	330	28.01.2024	1	dinkel	8	1	alles nur ein traum	generiert
331	331	28.01.2024	1	stroh	9	0	alles nur ein traum	generiert
332	332	28.01.2024	1	sand	4	5	alles nur ein traum	generiert
333	333	28.01.2024	2	dinkel	9	1	alles nur ein traum	generiert
334	334	28.01.2024	2	stroh	9	1	alles nur ein traum	generiert
335	335	28.01.2024	2	sand	6	4	alles nur ein traum	generiert
336	336	29.01.2024	1	dinkel	8	2	alles nur ein traum	generiert
337	337	29.01.2024	1	stroh	8	2	alles nur ein traum	generiert
338	338	29.01.2024	1	sand	6	4	alles nur ein traum	generiert
339	339	29.01.2024	2	dinkel	9	1	alles nur ein traum	generiert
340	340	29.01.2024	2	stroh	8	2	alles nur ein traum	generiert
341	341	29.01.2024	2	sand	6	4	alles nur ein traum	generiert
342	342	30.01.2024	1	dinkel	6	4	alles nur ein traum	generiert
343	343	30.01.2024	1	stroh	8	2	alles nur ein traum	generiert
344	344	30.01.2024	1	sand	9	1	alles nur ein traum	generiert
345	345	30.01.2024	2	dinkel	9	3	alles nur ein traum	generiert
346	346	30.01.2024	2	stroh	10	2	alles nur ein traum	generiert
347	347	30.01.2024	2	sand	9	3	alles nur ein traum	generiert
348	348	31.01.2024	1	dinkel	8	2	alles nur ein traum	generiert
349	349	31.01.2024	1	stroh	10	0	alles nur ein traum	generiert
350	350	31.01.2024	1	sand	7	3	alles nur ein traum	generiert
351	351	31.01.2024	2	dinkel	7	3	alles nur ein traum	generiert
352	352	31.01.2024	2	stroh	10	0	alles nur ein traum	generiert
353	353	31.01.2024	2	sand	7	3	alles nur ein traum	generiert
354	354	01.02.2024	1	dinkel	5	4	alles nur ein traum	generiert
355	355	01.02.2024	1	stroh	9	0	alles nur ein traum	generiert
356	356	01.02.2024	1	sand	5	4	alles nur ein traum	generiert
357	357	01.02.2024	2	dinkel	12	1	alles nur ein traum	generiert
358	358	01.02.2024	2	stroh	12	1	alles nur ein traum	generiert
359	359	01.02.2024	2	sand	8	5	alles nur ein traum	generiert
360	360	02.02.2024	1	dinkel	8	2	alles nur ein traum	generiert
361	361	02.02.2024	1	stroh	10	0	alles nur ein traum	generiert
362	362	02.02.2024	1	sand	7	3	alles nur ein traum	generiert
363	363	02.02.2024	2	dinkel	8	3	alles nur ein traum	generiert
364	364	02.02.2024	2	stroh	11	0	alles nur ein traum	generiert
365	365	02.02.2024	2	sand	4	7	alles nur ein traum	generiert
366	366	03.02.2024	1	dinkel	7	2	alles nur ein traum	generiert
367	367	03.02.2024	1	stroh	8	1	alles nur ein traum	generiert
368	368	03.02.2024	1	sand	4	5	alles nur ein traum	generiert
369	369	03.02.2024	2	dinkel	9	3	alles nur ein traum	generiert
370	370	03.02.2024	2	stroh	8	4	alles nur ein traum	generiert
371	371	03.02.2024	2	sand	6	6	alles nur ein traum	generiert
372	372	04.02.2024	1	dinkel	7	1	alles nur ein traum	generiert
373	373	04.02.2024	1	stroh	7	1	alles nur ein traum	generiert
374	374	04.02.2024	1	sand	5	3	alles nur ein traum	generiert
375	375	04.02.2024	2	dinkel	7	2	alles nur ein traum	generiert
376	376	04.02.2024	2	stroh	6	3	alles nur ein traum	generiert
377	377	04.02.2024	2	sand	6	3	alles nur ein traum	generiert
378	378	05.02.2024	1	dinkel	8	1	alles nur ein traum	generiert
379	379	05.02.2024	1	stroh	9	0	alles nur ein traum	generiert
380	380	05.02.2024	1	sand	5	4	alles nur ein traum	generiert
381	381	05.02.2024	2	dinkel	11	1	alles nur ein traum	generiert
382	382	05.02.2024	2	stroh	10	2	alles nur ein traum	generiert
383	383	05.02.2024	2	sand	7	5	alles nur ein traum	generiert
384	384	06.02.2024	1	dinkel	8	2	alles nur ein traum	generiert
385	385	06.02.2024	1	stroh	10	0	alles nur ein traum	generiert
386	386	06.02.2024	1	sand	7	3	alles nur ein traum	generiert
387	387	06.02.2024	2	dinkel	7	4	alles nur ein traum	generiert
388	388	06.02.2024	2	stroh	9	2	alles nur ein traum	generiert
389	389	06.02.2024	2	sand	6	5	alles nur ein traum	generiert
390	390	07.02.2024	1	dinkel	9	1	alles nur ein traum	generiert
391	391	07.02.2024	1	stroh	10	0	alles nur ein traum	generiert
392	392	07.02.2024	1	sand	9	1	alles nur ein traum	generiert
393	393	07.02.2024	2	dinkel	8	1	alles nur ein traum	generiert
394	394	07.02.2024	2	stroh	9	0	alles nur ein traum	generiert
395	395	07.02.2024	2	sand	5	4	alles nur ein traum	generiert
396	396	08.02.2024	1	dinkel	7	1	alles nur ein traum	generiert
397	397	08.02.2024	1	stroh	7	1	alles nur ein traum	generiert
398	398	08.02.2024	1	sand	4	4	alles nur ein traum	generiert
399	399	08.02.2024	2	dinkel	9	3	alles nur ein traum	generiert
400	400	08.02.2024	2	stroh	11	1	alles nur ein traum	generiert
401	401	08.02.2024	2	sand	7	5	alles nur ein traum	generiert
402	402	09.02.2024	1	dinkel	5	5	alles nur ein traum	generiert
403	403	09.02.2024	1	stroh	9	1	alles nur ein traum	generiert
404	404	09.02.2024	1	sand	6	4	alles nur ein traum	generiert
405	405	09.02.2024	2	dinkel	11	1	alles nur ein traum	generiert
406	406	09.02.2024	2	stroh	11	1	alles nur ein traum	generiert
407	407	09.02.2024	2	sand	6	6	alles nur ein traum	generiert
